day,date,position,shares_L,shares_O,z_score,price_L,price_O
75,Y0-M04-D17,0,0,0,-0.20830214953767723,232.65,31.58
76,Y0-M04-D20,0,0,0,-0.23614518226676323,229.36,31.29
77,Y0-M04-D21,0,0,0,-0.23248291150434508,229.52,31.29
78,Y0-M04-D22,0,0,0,-0.11160312961819431,232.37,30.95
79,Y0-M04-D23,0,0,0,0.03567639924463752,240.02,31.12
80,Y0-M04-D24,0,0,0,-0.1661680979873465,240.64,32.44
81,Y0-M04-D27,0,0,0,-0.15747974956318334,238.66,32.11
82,Y0-M04-D28,0,0,0,-0.02789977163501341,239.03,31.37
83,Y0-M04-D29,0,0,0,-0.14169575153683422,236.99,31.78
84,Y0-M04-D30,0,0,0,-0.17429318549614362,239.57,32.34
85,Y0-M05-D01,0,0,0,-0.27792050416571507,244.91,33.72
86,Y0-M05-D04,0,0,0,-0.42613090280892196,242.01,34.22
87,Y0-M05-D05,0,0,0,-0.3025885026665869,249.91,34.57
88,Y0-M05-D06,0,0,0,-0.2034274552153065,247.95,33.69
89,Y0-M05-D07,0,0,0,-0.013851462624076386,260.88,34.34
90,Y0-M05-D08,0,0,0,-0.046846290848769546,259.51,34.35
91,Y0-M05-D11,0,0,0,-0.020023151389714708,264.4,34.87
92,Y0-M05-D12,0,0,0,-0.1149254272909176,264.83,35.51
93,Y0-M05-D13,0,0,0,0.15621062994316706,274.03,35.14
94,Y0-M05-D14,0,0,0,0.10750058641798484,274.19,35.46
95,Y0-M05-D15,0,0,0,0.04678844329806783,269.75,35.21
96,Y0-M05-D18,0,0,0,-0.17186373241368574,264.13,35.76
97,Y0-M05-D19,0,0,0,-0.09280847981149999,258.36,34.47
98,Y0-M05-D20,0,0,0,0.1100050657471784,262.43,33.8
99,Y0-M05-D21,0,0,0,0.014614069109656342,258.62,33.85
100,Y0-M05-D22,0,0,0,0.08103057251333047,257.16,33.24
101,Y0-M05-D25,0,0,0,0.08528934406340663,255.63,33.0
102,Y0-M05-D26,0,0,0,0.021160608395606385,258.62,33.81
103,Y0-M05-D27,0,0,0,-0.1817171139263787,248.97,33.7
104,Y0-M05-D28,0,0,0,-0.10544756172148749,248.87,33.22
105,Y0-M05-D29,0,0,0,-0.04020036465742065,249.79,32.95
106,Y0-M06-D01,0,0,0,0.12358998681583447,248.58,31.78
107,Y0-M06-D02,0,0,0,0.02682794162368221,241.85,31.43
108,Y0-M06-D03,0,0,0,0.028043486944072937,238.9,31.01
109,Y0-M06-D04,0,0,0,-0.03131060672970659,239.31,31.43
110,Y0-M06-D05,0,0,0,-0.17211468201372446,234.66,31.64
111,Y0-M06-D08,0,0,0,-0.24304024114456102,235.78,32.23
112,Y0-M06-D09,0,0,0,-0.34044387461451936,229.88,32.0
113,Y0-M06-D10,0,0,0,-0.45752382028653255,226.91,32.3
114,Y0-M06-D11,0,0,0,-0.34272209771381323,230.71,32.13
115,Y0-M06-D12,0,0,0,-0.47926015979244907,229.75,32.83
116,Y0-M06-D15,0,0,0,-0.477198980997952,228.41,32.63
117,Y0-M06-D16,0,0,0,-0.5557895408110058,225.62,32.72
118,Y0-M06-D17,0,0,0,-0.6281560827129721,225.39,33.13
119,Y0-M06-D18,0,0,0,-0.4796113150770494,225.23,32.2
120,Y0-M06-D19,0,0,0,-0.34263192273351717,232.43,32.37
121,Y0-M06-D22,0,0,0,-0.3547123496906901,225.61,31.49
122,Y0-M06-D23,0,0,0,-0.21531486581487175,228.84,31.09
123,Y0-M06-D24,0,0,0,-0.3442047135031742,224.21,31.23
124,Y0-M06-D25,0,0,0,-0.4440715259955673,221.42,31.45
125,Y0-M06-D26,0,0,0,-0.38081672500013813,223.54,31.36
126,Y0-M06-D29,0,0,0,-0.43002733687949485,219.96,31.16
127,Y0-M06-D30,0,0,0,-0.5745517695245715,216.22,31.52
128,Y0-M07-D01,0,0,0,-0.6572956238176394,211.89,31.42
129,Y0-M07-D02,0,0,0,-0.6823419273107363,217.66,32.38
130,Y0-M07-D03,0,0,0,-0.7750408530031707,210.75,31.98
131,Y0-M07-D06,0,0,0,-0.7102976787651898,212.22,31.79
132,Y0-M07-D07,0,0,0,-0.7914048982367704,207.89,31.68
133,Y0-M07-D08,0,0,0,-0.8151301793394111,207.64,31.79
134,Y0-M07-D09,0,0,0,-0.6915036943814467,210.61,31.45
