entry_day,exit_day,type,entry_price,exit_price,entry_z,exit_z,shares,pnl,holding_days,return_pct,forced_close
1777,1904,LONG,130.35,149.03,-1.6176092416788208,0.10916801284788964,613,11291.030900000003,127,14.330648254698897,
2196,2265,SHORT,177.78,158.8,1.5560645159524582,-0.1356901282485421,449,8362.373559999995,69,11.952141057934496,
2409,2469,SHORT,177.47,159.19,1.6678248155611866,-0.19774789453282832,450,8066.277,60,11.483133362648413,
2515,2520,SHORT,177.98,185.45,1.5177489344464867,2.1821543105121375,449,-3513.856039999999,5,-4.028039902938795,True
