Date,mkt_ret,vol_regime,p_LOW,p_MID,p_HIGH
Y0-M01-D05,-0.01002622321580537,HIGH,0.0,5.946031810379476e-221,1.0
Y0-M01-D06,-0.007798921531661068,MID,1.894286947326242e-18,0.528581938923424,0.47141806107657264
Y0-M01-D07,0.0023354032767418753,MID,0.34816466202126467,0.5682964442417037,0.08353889373707385
Y0-M01-D08,-0.009014536972055091,HIGH,1.7032365041638916e-25,0.24545118875755334,0.7545488112423544
Y0-M01-D09,0.008274175316137328,HIGH,4.3959529829614134e-21,0.40013648656760137,0.5998635134323101
Y0-M01-D12,-0.0039026745296284523,MID,0.001035568573595128,0.8533438428858949,0.14562058854030996
Y0-M01-D13,0.004809424889680936,MID,4.5308828933793545e-06,0.8091844187271415,0.19081105038989
Y0-M01-D14,0.003051630943381865,MID,0.05194649370653197,0.8295651496963918,0.11848835659707677
Y0-M01-D15,0.015343837341728107,HIGH,2.812347757824793e-82,2.4357227738199027e-05,0.9999756427720616
Y0-M01-D16,0.0015806907018135626,LOW,0.7035835270517022,0.25908095459197994,0.037335518356502874
Y0-M01-D19,0.000720297153319666,LOW,0.8354162485906754,0.1335157082256978,0.031068043183694563
Y0-M01-D20,0.0012110133216030909,LOW,0.802750456151551,0.1650542301823021,0.032195313666197
Y0-M01-D21,-0.009252970275477945,HIGH,5.463027259091386e-27,0.2226754825176357,0.77732451748222
Y0-M01-D22,0.01673417877891697,HIGH,3.720726860606567e-99,1.3098356449373746e-06,0.9999986901643235
Y0-M01-D23,-0.005736979122415235,MID,3.1124712214824145e-09,0.8119225582949816,0.1880774385924883
Y0-M01-D26,-0.008713698150360145,HIGH,1.2124960829352073e-23,0.3017511018774539,0.6982488981226763
Y0-M01-D27,0.008170582797699822,HIGH,1.902435656716758e-20,0.44652471106027053,0.5534752889396567
Y0-M01-D28,0.001861861499214256,LOW,0.6014367196892336,0.34741362010101323,0.051149660209681716
Y0-M01-D29,0.010023737984535779,HIGH,2.293509194284603e-32,0.09070832831118457,0.90929167168874
Y0-M01-D30,0.005556022564436547,MID,1.4233794696678907e-08,0.822752988140235,0.17724699762582938
Y0-M02-D02,0.009200099743207018,HIGH,1.1027957894032536e-26,0.22910358019611646,0.7708964198038004
Y0-M02-D03,-0.010859567599421492,HIGH,1.1106269947823347e-38,0.04535833660645357,0.9546416633935041
Y0-M02-D04,0.00868473851324803,HIGH,1.8248417416011985e-23,0.37764165167862757,0.6223583483213981
Y0-M02-D05,-0.02436373948550411,HIGH,6.945312718461645e-219,4.253158496566679e-16,1.0
Y0-M02-D06,0.0018060574655064186,LOW,0.6093317771514409,0.3365224771193058,0.05414574572937665
Y0-M02-D09,-0.0031297188912050478,MID,0.04174802712536679,0.8200400716056263,0.13821190126887942
Y0-M02-D10,0.007120177596449628,MID,5.370564530548766e-15,0.6129452505503121,0.387054749449606
Y0-M02-D11,-0.00862663912105423,HIGH,3.932729867296216e-23,0.3183357487635765,0.6816642512361996
Y0-M02-D12,-0.006811429564546259,MID,1.3175768483393563e-13,0.65921975359584,0.34078024640423654
Y0-M02-D13,0.003377422971485421,MID,0.01378381092254155,0.8489949528695755,0.1372212362079772
Y0-M02-D16,0.00761334784352227,MID,1.9565463947909658e-17,0.5474329043521725,0.45256709564760106
Y0-M02-D17,-0.021717341065083953,HIGH,4.9152675463071477e-172,2.4696415479628065e-12,0.9999999999977263
Y0-M02-D18,0.001204321457385895,LOW,0.7623197597288637,0.2052548405797967,0.03242539969120315
Y0-M02-D19,-0.009361001103578327,HIGH,1.0159556919205065e-27,0.193760459457242,0.8062395405429846
Y0-M02-D20,-0.00918666328233428,HIGH,1.3908083826902654e-26,0.25139397886411813,0.7486060211358005
Y0-M02-D23,-0.0003730599747785698,LOW,0.7703561449255811,0.18801752583406917,0.04162632924022957
Y0-M02-D24,-0.009895831397021477,HIGH,1.908643960192668e-31,0.10250971779265008,0.8974902822075431
Y0-M02-D25,0.0034001314509194565,MID,0.010997151259314254,0.8825494719888523,0.10645337675201255
Y0-M02-D26,-0.011611310484318777,HIGH,6.532834282762412e-45,0.012507507864683817,0.9874924921352959
Y0-M02-D27,-0.0046007216537285655,MID,1.5212956551740251e-05,0.8741787443587323,0.1258060426847738
Y0-M03-D02,0.011036561454639115,HIGH,3.998113021253175e-40,0.02858810260128126,0.9714118973985458
Y0-M03-D03,0.007039818422096267,MID,1.1402505694337314e-14,0.6774340995560518,0.3225659004441611
Y0-M03-D04,0.00898750677954193,HIGH,2.4786003026915743e-25,0.26852110505188787,0.7314788949482061
Y0-M03-D05,-0.009290882768763437,HIGH,2.4612343721142876e-27,0.2041413888372393,0.7958586111626589
Y0-M03-D06,-0.005509850711264016,MID,2.3068834367552173e-08,0.8206095310280245,0.1793904459029731
Y0-M03-D09,-0.0004320112634314078,LOW,0.7951158003168879,0.16469536431339543,0.040188835369861835
Y0-M03-D10,0.012228509754571914,HIGH,3.2901251856469433e-50,0.006071759544958598,0.9939282404550172
Y0-M03-D11,-0.0014440340200725529,LOW,0.7196478669341202,0.24540702568636844,0.03494510737966218
Y0-M03-D12,0.010547630780547495,HIGH,2.9122713680296668e-36,0.05020936357860351,0.949790636421194
Y0-M03-D13,0.00332860603819888,MID,0.015046015419826664,0.8655937209609985,0.11936026361921472
Y0-M03-D16,0.0074293483635145844,MID,1.6814251506906248e-16,0.575213966671156,0.4247860333287982
Y0-M03-D17,0.010460912669507404,HIGH,1.414140624712378e-35,0.07059835368031381,0.9294016463197348
Y0-M03-D18,-0.009825701447163583,HIGH,6.266706675582955e-31,0.14297834292308775,0.8570216570767166
Y0-M03-D19,0.0019703217924667508,LOW,0.5348078065035679,0.4116019098854589,0.053590283611169506
Y0-M03-D20,-0.016561506804768145,HIGH,5.802402660689784e-97,1.6526014739103834e-06,0.9999983473985607
Y0-M03-D23,-0.005882938900437991,MID,8.981818345652701e-10,0.780041210853751,0.21995878824811999
Y0-M03-D24,0.0029281324694624914,MID,0.08032154499573604,0.7945712029359343,0.125107252068531
Y0-M03-D25,0.00823501025217374,HIGH,7.887022547177357e-21,0.3790346298409334,0.6209653701591695
Y0-M03-D26,0.006518584493336285,MID,2.7215243789314707e-12,0.7108990579528949,0.28910094204459746
Y0-M03-D27,-0.002243902527608936,MID,0.4257438805733128,0.4924697419704521,0.08178637745633319
Y0-M03-D30,-0.002145883428387139,LOW,0.48808135582159246,0.4358919858006806,0.07602665837777611
Y0-M03-D31,0.007680931029182719,MID,9.654689030948912e-18,0.5158802793905279,0.48411972060935987
Y0-M04-D01,0.0016101878145362318,LOW,0.6965893490755053,0.2629859645763123,0.04042468634823715
Y0-M04-D02,0.021679117554572983,HIGH,2.260426898019675e-171,2.570298322481022e-12,0.9999999999972715
Y0-M04-D03,0.00014100363303072192,LOW,0.7221724116047148,0.2183583802119742,0.05946920818340515
Y0-M04-D06,0.0063040112127114726,MID,2.609537262315288e-11,0.7299026444594535,0.2700973555145606
Y0-M04-D07,0.00045940301658349683,LOW,0.7949345099578481,0.16604683935507583,0.03901865068719038
Y0-M04-D08,0.02894806983075452,HIGH,2.66418591897e-313,6.947998465222866e-24,1.0
Y0-M04-D09,0.0023597918399689177,MID,0.309105286513829,0.6154394494827372,0.07545526400363059
Y0-M04-D10,0.009981817074705529,HIGH,5.213394251758942e-32,0.10469580017637886,0.8953041998238198
Y0-M04-D13,0.0016632919982633569,LOW,0.662229369502814,0.29685146513796207,0.04091916535931631
Y0-M04-D14,0.011020332745594795,HIGH,5.841493188423865e-40,0.029764685164763716,0.9702353148350664
Y0-M04-D15,-0.007119936586056666,MID,5.008677788350286e-15,0.6524085789231354,0.34759142107693175
Y0-M04-D16,0.002111913007457278,LOW,0.48617137488152756,0.44458269379580195,0.0692459313227705
Y0-M04-D17,0.00912287045897887,HIGH,3.6794676271179546e-26,0.24283294850372333,0.7571670514961691
Y0-M04-D20,-0.010789011116878244,HIGH,3.797033104470459e-38,0.044813538452496256,0.9551864615477076
Y0-M04-D21,0.0026538289745566723,MID,0.17204663982024354,0.735276972778815,0.09267638740087324
Y0-M04-D22,0.00024292855924611491,LOW,0.774177093442444,0.17085611342652757,0.05496679313096694
Y0-M04-D23,0.0064701506716119,MID,4.813800066136542e-12,0.6791673429445454,0.32083265705070546
Y0-M04-D24,0.0031869924004845995,MID,0.0306779139748275,0.8306032421337026,0.13871884389130368
