Date,mkt_ret,vol_regime,strategy_return,strategy_cumret,market_cumret
Y0-M01-D05,-0.01002622321580537,HIGH,0.008841146471073147,1.0088411464710731,0.9899737767841946
Y0-M01-D06,-0.007798921531661068,MID,0.007194147381048413,1.0160988983628518,0.9822530489806526
Y0-M01-D07,0.0023354032767418753,MID,-0.020949289566151483,0.9948123483132009,0.9845470059698318
Y0-M01-D08,-0.009014536972055091,HIGH,-0.0038872755831840617,0.990945238561753,0.9756717705837906
Y0-M01-D09,0.008274175316137328,HIGH,-0.015738523041647485,0.9753492240916379,0.983744649864607
Y0-M01-D12,-0.0039026745296284523,MID,0.003761833343060253,0.9790183253239538,0.9799054146759221
Y0-M01-D13,0.004809424889680936,MID,0.000326466602459094,0.9793379421103676,0.9846181961667975
Y0-M01-D14,0.003051630943381865,MID,0.008562845758498541,0.9877238618541041,0.987622887521637
Y0-M01-D15,0.015343837341728107,HIGH,-0.011528570290826287,0.9763368178847927,1.0027768124627368
Y0-M01-D16,0.0015806907018135626,LOW,-0.05416692786685229,0.923451651896675,1.004361892446191
Y0-M01-D19,0.000720297153319666,LOW,-0.035656810513161774,0.890524311326929,1.0050853314582227
Y0-M01-D20,0.0012110133216030909,LOW,0.02655151061177241,0.9141690770291673,1.0063025031839663
Y0-M01-D21,-0.009252970275477945,HIGH,0.02411583333801633,0.9362150261335708,0.996991216033866
Y0-M01-D22,0.01673417877891697,HIGH,-0.0014250820855828406,0.9348808428715744,1.0136750452839867
Y0-M01-D23,-0.005736979122415235,MID,0.015666035537535386,0.9495267193793614,1.0078596127122792
Y0-M01-D26,-0.008713698150360145,HIGH,0.011761658910987996,0.9606947287795707,0.9990774282691655
Y0-M01-D27,0.008170582797699822,HIGH,-0.04108435636384874,0.9212252041855198,1.0072404731181517
Y0-M01-D28,0.001861861499214256,LOW,-0.029820618139447697,0.8937536991510686,1.0091158153755007
Y0-M01-D29,0.010023737984535779,HIGH,-0.023257531541024036,0.8729671943031557,1.019230927904876
Y0-M01-D30,0.005556022564436547,MID,0.0020620612073717626,0.8747673060898365,1.024893797938687
Y0-M02-D02,0.009200099743207018,HIGH,0.021155379695666575,0.8932733405955223,1.0343229231059172
Y0-M02-D03,-0.010859567599421492,HIGH,0.002917894443963935,0.895879817912987,1.0230906234028172
Y0-M02-D04,0.00868473851324803,HIGH,0.023550411402429805,0.9169781561919718,1.0319758979424265
Y0-M02-D05,-0.02436373948550411,HIGH,-0.00610567712107829,0.9113793836431818,1.006833106009638
Y0-M02-D06,0.0018060574655064186,LOW,0.02937312144839932,0.9381494409645005,1.0086515044572657
Y0-M02-D09,-0.0031297188912050478,MID,-0.010351833526040438,0.9284378741290881,1.0054947087891235
Y0-M02-D10,0.007120177596449628,MID,0.025927007236499558,0.9525094896102733,1.0126540096879924
Y0-M02-D11,-0.00862663912105423,HIGH,-0.028207237890186476,0.9256418278441761,1.0039182089919254
Y0-M02-D12,-0.006811429564546259,MID,0.013727167335328527,0.9383482681075725,0.9970800908228115
Y0-M02-D13,0.003377422971485421,MID,0.007931469697342194,0.9457907489616214,1.000447652025967
Y0-M02-D16,0.00761334784352227,MID,-0.00135061303092604,0.9445133516515446,1.008064408000076
Y0-M02-D17,-0.021717341065083953,HIGH,0.02678768779974703,0.9698146804382789,0.9861719294359664
Y0-M02-D18,0.001204321457385895,LOW,-0.022404795544904044,0.9480861808066128,0.9873595974512577
Y0-M02-D19,-0.009361001103578327,HIGH,0.025594497669596688,0.9723519703518445,0.9781169231698879
Y0-M02-D20,-0.00918666328233428,HIGH,-0.024461788279139363,0.9485665023202937,0.9691312923459733
Y0-M02-D23,-0.0003730599747785698,LOW,0.03817100918888611,0.9847742429966312,0.9687697482504936
Y0-M02-D24,-0.009895831397021477,HIGH,-0.010879798381388509,0.9740600977816434,0.9591829661592718
Y0-M02-D25,0.0034001314509194565,MID,0.023702847706742483,0.9971480959365764,0.9624443143296962
Y0-M02-D26,-0.011611310484318777,HIGH,-0.031887480734094885,0.9653515552383595,0.9512690745721468
Y0-M02-D27,-0.0046007216537285655,MID,0.01691163665645419,0.9816772299862935,0.9468925503422404
Y0-M03-D02,0.011036561454639115,HIGH,-0.0025027711149695486,0.9792203165708605,0.9573429881650324
Y0-M03-D03,0.007039818422096267,MID,0.0008622011057770468,0.9800646014106073,0.9640825089693813
Y0-M03-D04,0.00898750677954193,HIGH,0.005272219800884344,0.9852317174083101,0.9727472070547815
Y0-M03-D05,-0.009290882768763437,HIGH,0.002105146748634528,0.9873057747548638,0.9637095267903935
Y0-M03-D06,-0.005509850711264016,MID,-0.016806985412595538,0.9707121410007875,0.9583996311687555
Y0-M03-D09,-0.0004320112634314078,LOW,-0.010670954538810062,0.9603537158738972,0.9579855917332221
Y0-M03-D10,0.012228509754571914,HIGH,0.012593987240262838,0.972448398317752,0.9697003278864712
Y0-M03-D11,-0.0014440340200725529,LOW,-0.05906093968805842,0.9150146821149583,0.9683000476237277
Y0-M03-D12,0.010547630780547495,HIGH,-0.016440401795979314,0.8999714730917682,0.9785133190108493
Y0-M03-D13,0.00332860603819888,MID,0.005357606224748915,0.9047931658581011,0.9817704043529669
Y0-M03-D16,0.0074293483635145844,MID,-0.0035267193515768347,0.9016022142908948,0.9890643186998938
Y0-M03-D17,0.010460912669507404,HIGH,-0.00268973542441886,0.8991771428763821,0.9994108341623392
Y0-M03-D18,-0.009825701447163583,HIGH,-0.021475111317483864,0.8798672136389747,0.9895909216827994
Y0-M03-D19,0.0019703217924667508,LOW,0.020474700052164896,0.8978822309239667,0.9915407342414182
